x1,eval
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
"[5.9, 5.58, 5.36, 5.79, 7.48, 7.7, 7.72, 7.83, 6.36, 6.45, 6.75, 6.91, 6.74, 7.71, 7.52, 7.16, 5.26]",126
